section,prop_type,srp_type,indexable,h1,title,description
rent,-,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties to find your perfect place - search by price, accommodations, and many other filters."
rent,-,state,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties in {location} to find your perfect place - search by price, accommodations, and many other filters."
rent,-,city,yes,{location} {prop_type} for {prop_status},{location} {prop_type} for {prop_status} 🏢| Ofirio.com,"Explore {number_search_results} {location} {prop_type} for rent. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,-,county,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location} on Ofirio. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,-,zip,yes,{location} {prop_type} for {prop_status},{location} {prop_type} for {prop_status} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,house-duplex,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties to find your perfect place - search by price, accommodations, and many other filters."
rent,house-duplex,state,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties in {location} to find your perfect place - search by price, accommodations, and many other filters."
rent,house-duplex,city,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {city} {prop_type} for rent in {state}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,house-duplex,county,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location} on Ofirio. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,house-duplex,zip,yes,{location} {prop_type} for {prop_status},{location} {prop_type} for {prop_status} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent in {location}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
rent,condo-apt,-,yes,{prop_type} for {prop_status} {location},{prop_type} for {prop_status} {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties to find your perfect place - search by price, accommodations, and many other filters."
rent,condo-apt,state,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {prop_type} for rent on Ofirio. Filter properties in {location} to find your perfect place - search by price, accommodations, and many other filters."
rent,condo-apt,city,yes,{prop_type} for {prop_status} in {location},{prop_type} for {prop_status} in {location} 🏢| Ofirio.com,"Explore {number_search_results} {city} {prop_type} for rent in {state}. Find a place that you will love. Compare prices, view similar properties, and contact agents."
